,Items
0.0 to 1.0,72
1.0 to 2.0,53
2.0 to 3.0,34
3.0 to 4.0,25
4.0 to 5.0,22
5.0 to 6.0,19
6.0 to 7.0,26
7.0 to 8.0,30
8.0 to 9.0,39
9.0 to 10.0,21
10.0 to 11.0,19
11.0 to 12.0,25
12.0 to 13.0,24
13.0 to 14.0,29
14.0 to 15.0,60
15.0 to 16.0,36
16.0 to 17.0,17
17.0 to 18.0,16
18.0 to 19.0,21
19.0 to 20.0,18
20.0 to 21.0,20
21.0 to 22.0,22
22.0 to 23.0,18
23.0 to 24.0,15
24.0 to 25.0,23
25.0 to 26.0,10
26.0 to 27.0,10
27.0 to 28.0,14
28.0 to 29.0,20
29.0 to 30.0,14
30.0 to 31.0,12
31.0 to 32.0,13
32.0 to 33.0,8
33.0 to 34.0,7
34.0 to 35.0,14
35.0 to 36.0,13
36.0 to 37.0,6
37.0 to 38.0,6
38.0 to 39.0,9
39.0 to 40.0,4
40.0 to 41.0,5
41.0 to 42.0,11
42.0 to 43.0,19
43.0 to 44.0,20
44.0 to 45.0,5
45.0 to 46.0,4
46.0 to 47.0,3
47.0 to 48.0,3
48.0 to 49.0,7
49.0 to 50.0,9
50.0 to 51.0,10
51.0 to 52.0,3
52.0 to 53.0,7
53.0 to 54.0,3
54.0 to 55.0,5
55.0 to 56.0,10
56.0 to 57.0,7
57.0 to 58.0,8
58.0 to 59.0,7
59.0 to 60.0,2
60.0 to 61.0,0
61.0 to 62.0,1
62.0 to 63.0,4
63.0 to 64.0,1
64.0 to 65.0,7
65.0 to 66.0,1
66.0 to 67.0,5
67.0 to 68.0,1
68.0 to 69.0,1
69.0 to 70.0,5
70.0 to 71.0,3
71.0 to 72.0,6
72.0 to 73.0,6
73.0 to 74.0,2
74.0 to 75.0,2
75.0 to 76.0,0
76.0 to 77.0,3
77.0 to 78.0,8
78.0 to 79.0,5
79.0 to 80.0,0
80.0 to 81.0,1
81.0 to 82.0,3
82.0 to 83.0,0
83.0 to 84.0,3
84.0 to 85.0,2
85.0 to 86.0,3
86.0 to 87.0,2
87.0 to 88.0,2
88.0 to 89.0,5
89.0 to 90.0,3
90.0 to 91.0,1
91.0 to 92.0,1
92.0 to 93.0,0
93.0 to 94.0,3
94.0 to 95.0,0
95.0 to 96.0,0
96.0 to 97.0,0
97.0 to 98.0,3
98.0 to 99.0,3
99.0 to 100.0,2
100.0 to 101.0,1
101.0 to 102.0,1
102.0 to 103.0,1
103.0 to 104.0,0
104.0 to 105.0,2
105.0 to 106.0,3
106.0 to 107.0,4
107.0 to 108.0,0
108.0 to 109.0,0
109.0 to 110.0,2
110.0 to 111.0,1
111.0 to 112.0,0
112.0 to 113.0,2
113.0 to 114.0,0
114.0 to 115.0,0
115.0 to 116.0,0
116.0 to 117.0,1
117.0 to 118.0,1
118.0 to 119.0,0
119.0 to 120.0,3
120.0 to 121.0,0
121.0 to 122.0,0
122.0 to 123.0,2
123.0 to 124.0,0
124.0 to 125.0,0
125.0 to 126.0,0
126.0 to 127.0,1
127.0 to 128.0,1
128.0 to 129.0,0
129.0 to 130.0,1
130.0 to 131.0,0
131.0 to 132.0,1
132.0 to 133.0,2
133.0 to 134.0,1
134.0 to 135.0,0
135.0 to 136.0,2
136.0 to 137.0,0
137.0 to 138.0,0
138.0 to 139.0,0
139.0 to 140.0,0
140.0 to 141.0,0
141.0 to 142.0,0
142.0 to 143.0,0
143.0 to 144.0,0
144.0 to 145.0,2
145.0 to 146.0,0
146.0 to 147.0,0
147.0 to 148.0,0
148.0 to 149.0,0
149.0 to 150.0,0
150.0 to 151.0,0
151.0 to 152.0,1
152.0 to 153.0,0
153.0 to 154.0,1
154.0 to 155.0,0
155.0 to 156.0,0
156.0 to 157.0,0
157.0 to 158.0,0
158.0 to 159.0,0
159.0 to 160.0,0
160.0 to 161.0,1
161.0 to 162.0,0
162.0 to 163.0,2
163.0 to 164.0,0
164.0 to 165.0,1
165.0 to 166.0,0
166.0 to 167.0,0
167.0 to 168.0,1
168.0 to 169.0,0
169.0 to 170.0,0
170.0 to 171.0,0
171.0 to 172.0,0
172.0 to 173.0,0
173.0 to 174.0,1
174.0 to 175.0,0
175.0 to 176.0,0
176.0 to 177.0,0
177.0 to 178.0,0
178.0 to 179.0,1
179.0 to 180.0,0
180.0 to 181.0,0
181.0 to 182.0,0
182.0 to 183.0,0
183.0 to 184.0,1
184.0 to 185.0,0
185.0 to 186.0,0
186.0 to 187.0,0
187.0 to 188.0,0
188.0 to 189.0,2
189.0 to 190.0,0
190.0 to 191.0,0
191.0 to 192.0,0
192.0 to 193.0,0
193.0 to 194.0,0
194.0 to 195.0,0
195.0 to 196.0,0
196.0 to 197.0,1
197.0 to 198.0,0
198.0 to 199.0,1
199.0 to 200.0,0
200.0 to 201.0,0
201.0 to 202.0,0
202.0 to 203.0,0
203.0 to 204.0,0
204.0 to 205.0,0
205.0 to 206.0,0
206.0 to 207.0,0
207.0 to 208.0,0
208.0 to 209.0,1
209.0 to 210.0,0
210.0 to 211.0,0
211.0 to 212.0,0
212.0 to 213.0,0
213.0 to 214.0,0
214.0 to 215.0,0
215.0 to 216.0,0
216.0 to 217.0,0
217.0 to 218.0,0
218.0 to 219.0,0
219.0 to 220.0,0
220.0 to 221.0,0
221.0 to 222.0,0
222.0 to 223.0,0
223.0 to 224.0,0
224.0 to 225.0,0
225.0 to 226.0,0
226.0 to 227.0,1
227.0 to 228.0,0
228.0 to 229.0,0
229.0 to 230.0,0
230.0 to 231.0,0
231.0 to 232.0,0
232.0 to 233.0,0
233.0 to 234.0,0
234.0 to 235.0,0
235.0 to 236.0,0
236.0 to 237.0,0
237.0 to 238.0,0
238.0 to 239.0,0
239.0 to 240.0,0
240.0 to 241.0,1
241.0 to 242.0,0
242.0 to 243.0,0
243.0 to 244.0,0
244.0 to 245.0,0
245.0 to 246.0,0
246.0 to 247.0,0
247.0 to 248.0,0
248.0 to 249.0,0
249.0 to 250.0,0
250.0 to 251.0,0
251.0 to 252.0,0
252.0 to 253.0,0
253.0 to 254.0,0
254.0 to 255.0,0
255.0 to 256.0,0
256.0 to 257.0,0
257.0 to 258.0,0
258.0 to 259.0,0
259.0 to 260.0,0
260.0 to 261.0,0
261.0 to 262.0,0
262.0 to 263.0,0
263.0 to 264.0,0
264.0 to 265.0,0
265.0 to 266.0,0
266.0 to 267.0,0
267.0 to 268.0,0
268.0 to 269.0,0
269.0 to 270.0,0
270.0 to 271.0,0
271.0 to 272.0,0
272.0 to 273.0,0
273.0 to 274.0,0
274.0 to 275.0,0
275.0 to 276.0,0
276.0 to 277.0,0
277.0 to 278.0,0
278.0 to 279.0,0
279.0 to 280.0,0
280.0 to 281.0,0
281.0 to 282.0,0
282.0 to 283.0,0
283.0 to 284.0,0
284.0 to 285.0,0
285.0 to 286.0,0
286.0 to 287.0,0
287.0 to 288.0,0
288.0 to 289.0,0
289.0 to 290.0,0
290.0 to 291.0,0
291.0 to 292.0,0
292.0 to 293.0,0
293.0 to 294.0,0
294.0 to 295.0,0
295.0 to 296.0,0
296.0 to 297.0,1
